"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"O60563"	"Cyclin-T1 OS=Homo sapiens GN=CCNT1 PE=1 SV=1"	"0.000"	"18.555"	"6.06060606060606"	"3"	"5"	"3"	"1"	"726"	"80.6"	"8.78"	"10.31"	"3"
"False"	"High"	"IsMasterProtein"	"P02533"	"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"	"0.000"	"17.955"	"10.3813559322034"	"5"	"6"	"2"	"1"	"472"	"51.5"	"5.16"	"13.02"	"5"
"False"	"High"	"IsMasterProtein"	"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	"0.000"	"17.640"	"11.8780096308186"	"6"	"6"	"6"	"1"	"623"	"62.0"	"5.24"	"9.71"	"6"
"False"	"High"	"IsMasterProtein"	"Q8N0T1"	"Uncharacterized protein C8orf59 OS=Homo sapiens GN=C8orf59 PE=1 SV=4"	"0.000"	"17.225"	"33"	"4"	"7"	"4"	"1"	"100"	"11.4"	"10.46"	"12.86"	"4"
"False"	"High"	"IsMasterProtein"	"Q96EV2"	"RNA-binding protein 33 OS=Homo sapiens GN=RBM33 PE=1 SV=3"	"0.000"	"14.952"	"5.72649572649573"	"5"	"7"	"5"	"1"	"1170"	"129.9"	"6.93"	"11.00"	"5"
"False"	"High"	"IsMasterProtein"	"H0Y8C2"	"60S ribosomal protein L22-like 1 (Fragment) OS=Homo sapiens GN=RPL22L1 PE=1 SV=1"	"0.000"	"14.755"	"16.9014084507042"	"2"	"4"	"2"	"1"	"142"	"16.9"	"9.25"	"9.22"	"2"
"False"	"High"	"IsMasterProtein"	"P05787"	"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7"	"0.000"	"14.549"	"11.1801242236025"	"5"	"6"	"4"	"1"	"483"	"53.7"	"5.59"	"7.15"	"5"
"False"	"High"	"IsMasterProtein"	"A0A087WV73"	"Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens GN=NOP2 PE=1 SV=1"	"0.000"	"12.817"	"5.84795321637427"	"4"	"4"	"4"	"1"	"855"	"94.0"	"9.11"	"7.40"	"4"
"False"	"High"	"IsMasterProtein"	"E7EW20"	"Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=1 SV=2"	"0.000"	"12.010"	"4.63320463320463"	"6"	"6"	"6"	"1"	"1295"	"149.8"	"8.51"	"8.58"	"6"
"False"	"High"	"IsMasterProtein"	"Q99700"	"Ataxin-2 OS=Homo sapiens GN=ATXN2 PE=1 SV=2"	"0.000"	"11.536"	"2.20868240670221"	"2"	"3"	"2"	"1"	"1313"	"140.2"	"9.57"	"7.78"	"2"
"False"	"High"	"IsMasterProtein"	"Q6P1L8"	"39S ribosomal protein L14, mitochondrial OS=Homo sapiens GN=MRPL14 PE=1 SV=1"	"0.000"	"10.475"	"11.0344827586207"	"2"	"9"	"2"	"1"	"145"	"15.9"	"10.24"	"9.42"	"2"
"False"	"High"	"IsMasterProtein"	"Q9UQN3"	"Charged multivesicular body protein 2b OS=Homo sapiens GN=CHMP2B PE=1 SV=1"	"0.000"	"10.280"	"5.63380281690141"	"2"	"3"	"2"	"1"	"213"	"23.9"	"8.76"	"5.50"	"2"
"False"	"High"	"IsMasterProtein"	"P0C0S5"	"Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2"	"0.000"	"10.171"	"16.40625"	"2"	"7"	"1"	"1"	"128"	"13.5"	"10.58"	"12.48"	"2"
"False"	"High"	"IsMasterProtein"	"P62805"	"Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2"	"0.000"	"10.088"	"21.3592233009709"	"2"	"7"	"2"	"1"	"103"	"11.4"	"11.36"	"8.67"	"2"
"False"	"High"	"IsMasterProtein"	"P62081"	"40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1"	"0.000"	"9.801"	"9.79381443298969"	"3"	"3"	"3"	"1"	"194"	"22.1"	"10.10"	"4.22"	"3"
"False"	"High"	"IsMasterProtein"	"P62269"	"40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3"	"0.000"	"9.796"	"15.7894736842105"	"3"	"3"	"3"	"1"	"152"	"17.7"	"10.99"	"5.60"	"3"
"False"	"High"	"IsMasterProtein"	"O00488"	"Zinc finger protein 593 OS=Homo sapiens GN=ZNF593 PE=1 SV=2"	"0.000"	"9.572"	"23.8805970149254"	"3"	"3"	"3"	"1"	"134"	"15.2"	"9.82"	"6.08"	"3"
"False"	"High"	"IsMasterProtein"	"Q9P270"	"SLAIN motif-containing protein 2 OS=Homo sapiens GN=SLAIN2 PE=1 SV=2"	"0.000"	"9.444"	"8.43373493975904"	"3"	"4"	"3"	"1"	"581"	"62.5"	"9.45"	"7.55"	"3"
"False"	"High"	"IsMasterProtein"	"P19823"	"Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2"	"0.000"	"8.867"	"2.85412262156448"	"2"	"2"	"2"	"1"	"946"	"106.4"	"6.86"	"3.90"	"2"
"False"	"High"	"IsMasterProtein"	"P05783"	"Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2"	"0.000"	"8.570"	"9.30232558139535"	"4"	"4"	"3"	"1"	"430"	"48.0"	"5.45"	"6.35"	"4"
"False"	"High"	"IsMasterProtein"	"P22087"	"rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2"	"0.000"	"7.954"	"8.41121495327103"	"2"	"3"	"2"	"1"	"321"	"33.8"	"10.18"	"7.45"	"2"
"False"	"High"	"IsMasterProtein"	"P13647"	"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3"	"0.000"	"7.910"	"5.59322033898305"	"3"	"4"	"2"	"1"	"590"	"62.3"	"7.74"	"4.21"	"3"
"False"	"High"	"IsMasterProtein"	"O95235"	"Kinesin-like protein KIF20A OS=Homo sapiens GN=KIF20A PE=1 SV=1"	"0.000"	"7.701"	"2.92134831460674"	"2"	"3"	"2"	"1"	"890"	"100.2"	"6.92"	"6.41"	"2"
"False"	"High"	"IsMasterProtein"	"P02768"	"Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2"	"0.000"	"7.660"	"2.79146141215107"	"2"	"9"	"2"	"1"	"609"	"69.3"	"6.28"	"20.13"	"2"
"False"	"High"	"IsMasterProtein"	"Q9BW19"	"Kinesin-like protein KIFC1 OS=Homo sapiens GN=KIFC1 PE=1 SV=2"	"0.000"	"7.622"	"4.01188707280832"	"2"	"2"	"2"	"1"	"673"	"73.7"	"8.98"	"6.07"	"2"
"False"	"High"	"IsMasterProtein"	"A0A0A0MRM9"	"Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens GN=NOLC1 PE=1 SV=1"	"0.000"	"7.055"	"2.96610169491525"	"2"	"2"	"2"	"1"	"708"	"74.6"	"9.47"	"2.62"	"2"
"False"	"High"	"IsMasterProtein"	"P06310"	"Ig kappa chain V-II region RPMI 6410 OS=Homo sapiens PE=4 SV=1"	"0.000"	"6.869"	"9.77443609022556"	"1"	"2"	"1"	"1"	"133"	"14.7"	"9.25"	"4.77"	"1"
"False"	"High"	"IsMasterProtein"	"Q9H6K5"	"Proline-rich protein 36 OS=Homo sapiens GN=PRR36 PE=1 SV=2"	"0.000"	"6.665"	"2.4517087667162"	"2"	"2"	"2"	"1"	"1346"	"132.7"	"10.48"	"5.64"	"2"
"False"	"High"	"IsMasterProtein"	"Q9NX20"	"39S ribosomal protein L16, mitochondrial OS=Homo sapiens GN=MRPL16 PE=1 SV=1"	"0.000"	"6.586"	"12.3505976095618"	"3"	"5"	"3"	"1"	"251"	"28.4"	"10.13"	"3.61"	"3"
"False"	"High"	"IsMasterProtein"	"Q86YZ3"	"Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2"	"0.000"	"6.335"	"1.68421052631579"	"1"	"1"	"1"	"1"	"2850"	"282.2"	"10.04"	"2.75"	"1"
"False"	"High"	"IsMasterProtein"	"P06396"	"Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1"	"0.000"	"6.250"	"2.55754475703325"	"2"	"2"	"2"	"1"	"782"	"85.6"	"6.28"	"4.20"	"2"
"False"	"High"	"IsMasterProtein"	"P11137"	"Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 PE=1 SV=4"	"0.000"	"6.032"	"1.97044334975369"	"3"	"3"	"3"	"1"	"1827"	"199.4"	"4.91"	"1.84"	"3"
"False"	"High"	"IsMasterProtein"	"P04908"	"Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2"	"0.000"	"5.918"	"13.8461538461538"	"2"	"2"	"1"	"1"	"130"	"14.1"	"11.05"	"4.50"	"2"
"False"	"High"	"IsMasterProtein"	"Q8IYL3"	"UPF0688 protein C1orf174 OS=Homo sapiens GN=C1orf174 PE=1 SV=2"	"0.000"	"5.914"	"5.76131687242798"	"1"	"1"	"1"	"1"	"243"	"26.0"	"6.90"	"3.56"	"1"
"False"	"High"	"IsMasterProtein"	"I3L156"	"Protein FAM64A OS=Homo sapiens GN=FAM64A PE=1 SV=2"	"0.000"	"5.342"	"6.09318996415771"	"1"	"1"	"1"	"1"	"279"	"30.9"	"9.52"	"3.31"	"1"
"False"	"High"	"IsMasterProtein"	"H3BN98"	"Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2"	"0.000"	"5.290"	"8.86075949367089"	"2"	"3"	"2"	"1"	"237"	"27.2"	"9.55"	"0.00"	"2"
"False"	"High"	"IsMasterProtein"	"P0C7P0"	"CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Homo sapiens GN=CISD3 PE=1 SV=1"	"0.000"	"5.184"	"8.66141732283465"	"1"	"1"	"1"	"1"	"127"	"14.2"	"10.55"	"3.29"	"1"
"False"	"High"	"IsMasterProtein"	"S4R435"	"Protein RPS10-NUDT3 (Fragment) OS=Homo sapiens GN=RPS10-NUDT3 PE=3 SV=1"	"0.000"	"4.974"	"5.59440559440559"	"1"	"2"	"1"	"1"	"286"	"32.6"	"9.19"	"2.29"	"1"
"False"	"High"	"IsMasterProtein"	"P78316"	"Nucleolar protein 14 OS=Homo sapiens GN=NOP14 PE=1 SV=3"	"0.000"	"4.896"	"2.33372228704784"	"2"	"2"	"2"	"1"	"857"	"97.6"	"7.58"	"4.24"	"2"
"False"	"High"	"IsMasterProtein"	"P47914"	"60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2"	"0.000"	"4.853"	"9.43396226415094"	"1"	"1"	"1"	"1"	"159"	"17.7"	"11.66"	"2.87"	"1"
"False"	"High"	"IsMasterProtein"	"Q14684"	"Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3"	"0.000"	"4.818"	"3.82585751978892"	"2"	"2"	"2"	"1"	"758"	"84.4"	"9.76"	"1.96"	"2"
"False"	"High"	"IsMasterProtein"	"P07996"	"Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2"	"0.000"	"4.816"	"1.02564102564103"	"1"	"1"	"1"	"1"	"1170"	"129.3"	"4.94"	"1.68"	"1"
"False"	"High"	"IsMasterProtein"	"P0C0S8"	"Histone H2A type 1 OS=Homo sapiens GN=HIST1H2AG PE=1 SV=2"	"0.000"	"4.707"	"13.8461538461538"	"2"	"2"	"1"	"1"	"130"	"14.1"	"10.90"	"5.67"	"2"
"False"	"High"	"IsMasterProtein"	"P23246"	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2"	"0.000"	"4.404"	"2.12164073550212"	"1"	"1"	"1"	"1"	"707"	"76.1"	"9.44"	"3.13"	"1"
"False"	"High"	"IsMasterProtein"	"Q9Y5J1"	"U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens GN=UTP18 PE=1 SV=3"	"0.000"	"4.328"	"3.23741007194245"	"1"	"1"	"1"	"1"	"556"	"62.0"	"8.76"	"2.37"	"1"
"False"	"High"	"IsMasterProtein"	"I3L0U5"	"Coiled-coil domain-containing protein 137 (Fragment) OS=Homo sapiens GN=CCDC137 PE=1 SV=1"	"0.000"	"4.318"	"3.42465753424658"	"1"	"1"	"1"	"1"	"292"	"33.5"	"11.00"	"2.31"	"1"
"False"	"High"	"IsMasterProtein"	"Q9UNZ5"	"Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1"	"0.000"	"4.292"	"16.1616161616162"	"2"	"3"	"2"	"1"	"99"	"10.6"	"11.55"	"3.84"	"2"
"False"	"High"	"IsMasterProtein"	"Q8N5A5"	"Zinc finger CCCH-type with G patch domain-containing protein OS=Homo sapiens GN=ZGPAT PE=1 SV=3"	"0.000"	"4.278"	"5.27306967984934"	"2"	"2"	"2"	"1"	"531"	"57.3"	"5.43"	"2.34"	"2"
"False"	"High"	"IsMasterProtein"	"P02545"	"Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1"	"0.000"	"4.035"	"2.40963855421687"	"1"	"1"	"1"	"1"	"664"	"74.1"	"7.02"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q9Y3Y2"	"Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2"	"0.000"	"3.961"	"5.24193548387097"	"1"	"1"	"1"	"1"	"248"	"26.4"	"12.23"	"2.65"	"1"
"False"	"High"	"IsMasterProtein"	"B7Z6Z4"	"Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=1"	"0.000"	"3.946"	"5.46218487394958"	"1"	"1"	"1"	"1"	"238"	"26.7"	"5.08"	"1.74"	"1"
"False"	"High"	"IsMasterProtein"	"O15235"	"28S ribosomal protein S12, mitochondrial OS=Homo sapiens GN=MRPS12 PE=1 SV=1"	"0.004"	"3.540"	"8.69565217391304"	"2"	"2"	"2"	"1"	"138"	"15.2"	"10.29"	"2.68"	"2"
"False"	"High"	"IsMasterProtein"	"P01024"	"Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2"	"0.004"	"3.506"	"0.721587492483464"	"1"	"1"	"1"	"1"	"1663"	"187.0"	"6.40"	"2.27"	"1"
"False"	"High"	"IsMasterProtein"	"Q6PGN9"	"Proline/serine-rich coiled-coil protein 1 OS=Homo sapiens GN=PSRC1 PE=1 SV=1"	"0.004"	"3.462"	"6.61157024793388"	"2"	"2"	"2"	"1"	"363"	"38.8"	"11.21"	"4.29"	"2"
"False"	"High"	"IsMasterProtein"	"J3KQY1"	"39S ribosomal protein L22, mitochondrial OS=Homo sapiens GN=MRPL22 PE=1 SV=1"	"0.004"	"3.427"	"5.60344827586207"	"1"	"2"	"1"	"1"	"232"	"26.5"	"9.74"	"4.24"	"1"
"False"	"High"	"IsMasterProtein"	"P02452"	"Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5"	"0.004"	"3.409"	"0.956284153005465"	"1"	"1"	"1"	"1"	"1464"	"138.9"	"5.80"	"1.97"	"1"
"False"	"High"	"IsMasterProtein"	"P61254"	"60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1"	"0.004"	"3.403"	"11.7241379310345"	"2"	"2"	"2"	"1"	"145"	"17.2"	"10.55"	"4.27"	"2"
"False"	"High"	"IsMasterProtein"	"Q96A22"	"Uncharacterized protein C11orf52 OS=Homo sapiens GN=C11orf52 PE=1 SV=2"	"0.004"	"3.363"	"11.3821138211382"	"1"	"1"	"1"	"1"	"123"	"13.9"	"9.41"	"2.17"	"1"
"False"	"High"	"IsMasterProtein"	"Q68D10"	"Protein SPT2 homolog OS=Homo sapiens GN=SPTY2D1 PE=1 SV=3"	"0.004"	"3.311"	"1.8978102189781"	"1"	"2"	"1"	"1"	"685"	"75.6"	"9.79"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"J3KNR0"	"MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens GN=MARK3 PE=1 SV=2"	"0.004"	"3.284"	"2.19072164948454"	"1"	"2"	"1"	"1"	"776"	"86.9"	"9.52"	"2.66"	"1"
"False"	"High"	"IsMasterProtein"	"P11021"	"78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2"	"0.004"	"3.238"	"2.14067278287462"	"1"	"1"	"1"	"1"	"654"	"72.3"	"5.16"	"1.82"	"1"
"False"	"High"	"IsMasterProtein"	"Q3KQU3"	"MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1 PE=1 SV=1"	"0.004"	"3.169"	"2.25921521997622"	"2"	"2"	"1"	"1"	"841"	"92.8"	"10.11"	"3.55"	"2"
"False"	"High"	"IsMasterProtein"	"Q9BXS6"	"Nucleolar and spindle-associated protein 1 OS=Homo sapiens GN=NUSAP1 PE=1 SV=1"	"0.004"	"3.162"	"4.98866213151927"	"2"	"2"	"2"	"1"	"441"	"49.4"	"9.91"	"1.85"	"2"
"False"	"High"	"IsMasterProtein"	"P84098"	"60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1"	"0.004"	"3.075"	"8.6734693877551"	"2"	"2"	"2"	"1"	"196"	"23.5"	"11.47"	"0.00"	"2"
"False"	"High"	"IsMasterProtein"	"P62979"	"Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2"	"0.004"	"3.051"	"14.1025641025641"	"2"	"2"	"2"	"1"	"156"	"18.0"	"9.64"	"1.62"	"2"
"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1"	"0.004"	"3.010"	"2.01238390092879"	"1"	"1"	"1"	"1"	"646"	"70.9"	"5.52"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"B7Z596"	"Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=1"	"0.004"	"2.933"	"9.09090909090909"	"2"	"2"	"2"	"1"	"275"	"31.7"	"4.89"	"0.00"	"2"
"False"	"High"	"IsMasterProtein"	"Q9BVJ6"	"U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens GN=UTP14A PE=1 SV=1"	"0.004"	"2.897"	"2.59403372243839"	"1"	"2"	"1"	"1"	"771"	"87.9"	"7.87"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"A8MUS3"	"60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1"	"0.004"	"2.690"	"6.70103092783505"	"1"	"1"	"1"	"1"	"194"	"21.9"	"10.48"	"1.83"	"1"
"False"	"High"	"IsMasterProtein"	"Q70EL4"	"Ubiquitin carboxyl-terminal hydrolase 43 OS=Homo sapiens GN=USP43 PE=1 SV=2"	"0.004"	"2.615"	"1.246660730187"	"1"	"1"	"1"	"1"	"1123"	"122.7"	"9.19"	"2.07"	"1"
"False"	"High"	"IsMasterProtein"	"E9PB61"	"THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=1"	"0.004"	"2.596"	"4.16666666666667"	"1"	"1"	"1"	"1"	"264"	"27.5"	"11.05"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q05639"	"Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1"	"0.004"	"2.592"	"2.37580993520518"	"1"	"1"	"1"	"1"	"463"	"50.4"	"9.03"	"2.38"	"1"
"False"	"High"	"IsMasterProtein"	"Q5T2Z1"	"Proline/serine-rich coiled-coil protein 1 (Fragment) OS=Homo sapiens GN=PSRC1 PE=1 SV=6"	"0.004"	"2.458"	"4.32900432900433"	"1"	"1"	"1"	"1"	"231"	"24.9"	"9.55"	"2.31"	"1"
"False"	"High"	"IsMasterProtein"	"Q92522"	"Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1"	"0.004"	"2.437"	"7.04225352112676"	"1"	"1"	"1"	"1"	"213"	"22.5"	"10.76"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q8N9M1"	"Uncharacterized protein C19orf47 OS=Homo sapiens GN=C19orf47 PE=1 SV=1"	"0.004"	"2.426"	"3.3175355450237"	"1"	"2"	"1"	"1"	"422"	"44.7"	"10.11"	"5.21"	"1"
"False"	"High"	"IsMasterProtein"	"P54886"	"Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2"	"0.004"	"2.386"	"1.0062893081761"	"1"	"1"	"1"	"1"	"795"	"87.2"	"7.12"	"1.61"	"1"
"False"	"High"	"IsMasterProtein"	"Q5SXM8"	"DNL-type zinc finger protein OS=Homo sapiens GN=DNLZ PE=1 SV=1"	"0.004"	"2.380"	"8.42696629213483"	"1"	"1"	"1"	"1"	"178"	"19.2"	"9.80"	"2.28"	"1"
"False"	"High"	"IsMasterProtein"	"Q7Z589"	"BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens GN=EMSY PE=1 SV=2"	"0.004"	"2.355"	"0.983358547655068"	"1"	"1"	"1"	"1"	"1322"	"141.4"	"9.33"	"2.17"	"1"
"False"	"High"	"IsMasterProtein"	"P62263"	"40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3"	"0.004"	"2.322"	"7.28476821192053"	"1"	"1"	"1"	"1"	"151"	"16.3"	"10.05"	"2.47"	"1"
"False"	"High"	"IsMasterProtein"	"H0UI80"	"Negative elongation factor C/D OS=Homo sapiens GN=TH1L PE=1 SV=1"	"0.004"	"2.317"	"1.5025041736227"	"1"	"1"	"1"	"1"	"599"	"67.3"	"5.21"	"2.52"	"1"
"False"	"High"	"IsMasterProtein"	"Q9BQG0"	"Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2"	"0.004"	"2.229"	"2.33433734939759"	"2"	"3"	"2"	"1"	"1328"	"148.8"	"9.28"	"6.12"	"2"
"False"	"High"	"IsMasterProtein"	"Q9P031"	"Thyroid transcription factor 1-associated protein 26 OS=Homo sapiens GN=CCDC59 PE=1 SV=2"	"0.004"	"2.187"	"4.5643153526971"	"1"	"1"	"1"	"1"	"241"	"28.7"	"9.88"	"1.87"	"1"
