Protein FDR Confidence	Accession	Description	Coverage	# PSMs	# Unique Peptides	# AAs	MW [kDa]	
High	P06310	Ig kappa chain V-II region RPMI 6410 OS=Homo sapiens PE=4 SV=1	9.77443609022556	2	1	133	14.7	
High	Q9H6K5	Proline-rich protein 36 OS=Homo sapiens GN=PRR36 PE=1 SV=2	2.4517087667162	2	2	1346	132.7	
High	Q9NX20	39S ribosomal protein L16, mitochondrial OS=Homo sapiens GN=MRPL16 PE=1 SV=1	12.3505976095618	5	3	251	28.4	
High	Q86YZ3	Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2	1.68421052631579	1	1	2850	282.2	
High	P06396	Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1	2.55754475703325	2	2	782	85.6	
High	P11137	Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 PE=1 SV=4	1.97044334975369	3	3	1827	199.4	
High	P04908	Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2	13.8461538461538	2	1	130	14.1	
High	Q8IYL3	UPF0688 protein C1orf174 OS=Homo sapiens GN=C1orf174 PE=1 SV=2	5.76131687242798	1	1	243	26.0	
High	I3L156	Protein FAM64A OS=Homo sapiens GN=FAM64A PE=1 SV=2	6.09318996415771	1	1	279	30.9	
High	H3BN98	Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2	8.86075949367089	3	2	237	27.2	
High	P0C7P0	CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Homo sapiens GN=CISD3 PE=1 SV=1	8.66141732283465	1	1	127	14.2	
High	S4R435	Protein RPS10-NUDT3 (Fragment) OS=Homo sapiens GN=RPS10-NUDT3 PE=3 SV=1	5.59440559440559	2	1	286	32.6	
High	P78316	Nucleolar protein 14 OS=Homo sapiens GN=NOP14 PE=1 SV=3	2.33372228704784	2	2	857	97.6	
High	P47914	60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2	9.43396226415094	1	1	159	17.7	
High	Q14684	Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3	3.82585751978892	2	2	758	84.4	
High	P07996	Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2	1.02564102564103	1	1	1170	129.3	
High	P0C0S8	Histone H2A type 1 OS=Homo sapiens GN=HIST1H2AG PE=1 SV=2	13.8461538461538	2	1	130	14.1	
High	P23246	Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2	2.12164073550212	1	1	707	76.1	
High	Q9Y5J1	U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens GN=UTP18 PE=1 SV=3	3.23741007194245	1	1	556	62.0	
High	I3L0U5	Coiled-coil domain-containing protein 137 (Fragment) OS=Homo sapiens GN=CCDC137 PE=1 SV=1	3.42465753424658	1	1	292	33.5	
High	Q9UNZ5	Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1	16.1616161616162	3	2	99	10.6	
High	Q8N5A5	Zinc finger CCCH-type with G patch domain-containing protein OS=Homo sapiens GN=ZGPAT PE=1 SV=3	5.27306967984934	2	2	531	57.3	
High	P02545	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	2.40963855421687	1	1	664	74.1	
High	Q9Y3Y2	Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2	5.24193548387097	1	1	248	26.4	
High	B7Z6Z4	Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=1	5.46218487394958	1	1	238	26.7	
High	O15235	28S ribosomal protein S12, mitochondrial OS=Homo sapiens GN=MRPS12 PE=1 SV=1	8.69565217391304	2	2	138	15.2	
High	P01024	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	0.721587492483464	1	1	1663	187.0	
High	Q6PGN9	Proline/serine-rich coiled-coil protein 1 OS=Homo sapiens GN=PSRC1 PE=1 SV=1	6.61157024793388	2	2	363	38.8	
High	J3KQY1	39S ribosomal protein L22, mitochondrial OS=Homo sapiens GN=MRPL22 PE=1 SV=1	5.60344827586207	2	1	232	26.5	
High	P02452	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	0.956284153005465	1
